IP地址,数据中心,地区,城市,网络延迟
104.25.110.210,LAX,North America,Los Angeles,187 ms
104.19.89.14,LAX,North America,Los Angeles,187 ms
162.159.18.51,LAX,North America,Los Angeles,187 ms
104.23.100.78,LAX,North America,Los Angeles,187 ms
104.24.167.39,LAX,North America,Los Angeles,187 ms
172.64.68.84,LAX,North America,Los Angeles,187 ms
104.19.72.110,LAX,North America,Los Angeles,187 ms
104.19.67.74,LAX,North America,Los Angeles,187 ms
104.24.80.216,LAX,North America,Los Angeles,187 ms
104.31.16.143,LAX,North America,Los Angeles,187 ms
104.17.2.210,SJC,North America,San Jose,187 ms
198.41.199.240,LAX,North America,Los Angeles,187 ms
104.20.226.161,LAX,North America,Los Angeles,187 ms
104.20.156.17,LAX,North America,Los Angeles,187 ms
104.27.94.223,LAX,North America,Los Angeles,187 ms
104.23.106.61,LAX,North America,Los Angeles,187 ms
104.22.42.112,LAX,North America,Los Angeles,187 ms
104.24.175.73,LAX,North America,Los Angeles,188 ms
104.27.75.192,LAX,North America,Los Angeles,188 ms
104.27.114.17,LAX,North America,Los Angeles,188 ms
104.24.229.109,LAX,North America,Los Angeles,188 ms
104.27.14.236,LAX,North America,Los Angeles,188 ms
104.20.132.163,LAX,North America,Los Angeles,188 ms
104.20.215.49,LAX,North America,Los Angeles,188 ms
104.19.37.246,LAX,North America,Los Angeles,188 ms
104.19.76.57,LAX,North America,Los Angeles,188 ms
104.20.50.240,LAX,North America,Los Angeles,188 ms
104.19.5.138,LAX,North America,Los Angeles,188 ms
104.19.1.234,LAX,North America,Los Angeles,188 ms
104.24.52.178,LAX,North America,Los Angeles,188 ms
172.64.149.93,LAX,North America,Los Angeles,188 ms
104.27.16.109,LAX,North America,Los Angeles,188 ms
198.41.200.64,LAX,North America,Los Angeles,188 ms
108.162.195.153,LAX,North America,Los Angeles,188 ms
172.67.106.195,LAX,North America,Los Angeles,188 ms
104.25.114.20,LAX,North America,Los Angeles,188 ms
104.17.51.59,SJC,North America,San Jose,188 ms
104.18.34.94,LAX,North America,Los Angeles,188 ms
172.64.91.106,LAX,North America,Los Angeles,188 ms
104.24.246.211,LAX,North America,Los Angeles,188 ms
104.19.42.134,LAX,North America,Los Angeles,188 ms
104.23.115.223,LAX,North America,Los Angeles,188 ms
104.22.2.187,LAX,North America,Los Angeles,188 ms
104.20.58.175,LAX,North America,Los Angeles,188 ms
104.19.106.233,LAX,North America,Los Angeles,188 ms
172.65.204.70,LAX,North America,Los Angeles,188 ms
104.24.41.152,LAX,North America,Los Angeles,188 ms
104.24.224.213,LAX,North America,Los Angeles,188 ms
172.64.230.221,LAX,North America,Los Angeles,188 ms
104.18.46.115,LAX,North America,Los Angeles,188 ms
104.27.92.244,LAX,North America,Los Angeles,188 ms
104.20.84.244,LAX,North America,Los Angeles,188 ms
104.20.98.225,LAX,North America,Los Angeles,188 ms
104.24.45.152,LAX,North America,Los Angeles,188 ms
104.18.6.180,LAX,North America,Los Angeles,188 ms
162.159.255.87,LAX,North America,Los Angeles,188 ms
104.20.105.200,LAX,North America,Los Angeles,188 ms
104.20.110.68,LAX,North America,Los Angeles,188 ms
172.67.102.92,LAX,North America,Los Angeles,188 ms
104.19.200.149,LAX,North America,Los Angeles,188 ms
104.20.72.40,LAX,North America,Los Angeles,188 ms
104.18.40.6,LAX,North America,Los Angeles,188 ms
172.67.30.252,LAX,North America,Los Angeles,188 ms
198.41.193.45,LAX,North America,Los Angeles,188 ms
104.24.128.181,LAX,North America,Los Angeles,188 ms
104.20.78.215,LAX,North America,Los Angeles,188 ms
172.64.148.229,LAX,North America,Los Angeles,188 ms
104.20.171.246,LAX,North America,Los Angeles,188 ms
104.19.50.94,LAX,North America,Los Angeles,188 ms
104.24.209.142,LAX,North America,Los Angeles,188 ms
104.24.4.27,LAX,North America,Los Angeles,188 ms
104.20.102.238,LAX,North America,Los Angeles,188 ms
104.18.14.212,LAX,North America,Los Angeles,188 ms
104.22.61.13,LAX,North America,Los Angeles,188 ms
104.19.58.152,LAX,North America,Los Angeles,188 ms
104.22.22.181,LAX,North America,Los Angeles,188 ms
104.25.33.222,LAX,North America,Los Angeles,188 ms
104.19.16.63,LAX,North America,Los Angeles,188 ms
172.64.35.191,LAX,North America,Los Angeles,188 ms
104.24.68.246,LAX,North America,Los Angeles,188 ms
104.22.65.18,LAX,North America,Los Angeles,188 ms
104.18.42.160,LAX,North America,Los Angeles,188 ms
104.24.95.151,LAX,North America,Los Angeles,188 ms
104.25.65.10,LAX,North America,Los Angeles,188 ms
104.16.10.184,SJC,North America,San Jose,188 ms
104.25.20.170,LAX,North America,Los Angeles,188 ms
172.66.47.88,LAX,North America,Los Angeles,189 ms
104.18.7.126,LAX,North America,Los Angeles,189 ms
104.27.66.66,LAX,North America,Los Angeles,189 ms
172.67.108.218,LAX,North America,Los Angeles,189 ms
172.64.155.193,LAX,North America,Los Angeles,189 ms
104.27.112.193,LAX,North America,Los Angeles,189 ms
104.24.237.169,LAX,North America,Los Angeles,189 ms
104.20.101.8,LAX,North America,Los Angeles,189 ms
172.67.101.58,LAX,North America,Los Angeles,189 ms
172.64.88.87,SJC,North America,San Jose,189 ms
172.67.34.43,LAX,North America,Los Angeles,189 ms
172.67.23.137,LAX,North America,Los Angeles,189 ms
104.25.236.4,LAX,North America,Los Angeles,189 ms
104.23.117.194,LAX,North America,Los Angeles,189 ms
104.19.61.15,LAX,North America,Los Angeles,189 ms
104.22.1.16,LAX,North America,Los Angeles,189 ms
104.21.101.162,LAX,North America,Los Angeles,189 ms
162.159.11.145,LAX,North America,Los Angeles,189 ms
104.19.66.214,LAX,North America,Los Angeles,189 ms
104.19.98.222,LAX,North America,Los Angeles,189 ms
104.25.64.255,LAX,North America,Los Angeles,189 ms
104.18.47.152,LAX,North America,Los Angeles,189 ms
104.25.25.8,LAX,North America,Los Angeles,189 ms
104.25.141.230,LAX,North America,Los Angeles,189 ms
104.25.139.87,LAX,North America,Los Angeles,189 ms
104.22.54.62,LAX,North America,Los Angeles,189 ms
104.25.74.80,LAX,North America,Los Angeles,189 ms
172.66.2.159,LAX,North America,Los Angeles,189 ms
104.24.230.223,LAX,North America,Los Angeles,189 ms
104.24.152.103,LAX,North America,Los Angeles,189 ms
104.24.216.246,LAX,North America,Los Angeles,189 ms
104.25.249.144,LAX,North America,Los Angeles,189 ms
104.22.31.185,LAX,North America,Los Angeles,189 ms
104.27.22.229,LAX,North America,Los Angeles,189 ms
104.19.29.66,LAX,North America,Los Angeles,189 ms
172.64.156.182,LAX,North America,Los Angeles,189 ms
104.24.129.32,LAX,North America,Los Angeles,189 ms
104.24.55.174,LAX,North America,Los Angeles,189 ms
104.24.155.207,LAX,North America,Los Angeles,189 ms
104.19.13.184,LAX,North America,Los Angeles,189 ms
104.25.48.166,LAX,North America,Los Angeles,189 ms
104.27.45.230,LAX,North America,Los Angeles,189 ms
104.24.204.78,LAX,North America,Los Angeles,189 ms
104.25.78.136,LAX,North America,Los Angeles,189 ms
104.27.27.202,LAX,North America,Los Angeles,189 ms
104.24.181.200,LAX,North America,Los Angeles,189 ms
104.20.45.63,LAX,North America,Los Angeles,189 ms
104.25.4.61,LAX,North America,Los Angeles,189 ms
104.20.48.138,LAX,North America,Los Angeles,189 ms
104.25.134.129,LAX,North America,Los Angeles,189 ms
104.23.126.131,LAX,North America,Los Angeles,189 ms
104.20.103.140,LAX,North America,Los Angeles,189 ms
104.20.80.240,LAX,North America,Los Angeles,189 ms
104.19.44.23,LAX,North America,Los Angeles,189 ms
162.159.13.48,LAX,North America,Los Angeles,189 ms
104.27.80.38,LAX,North America,Los Angeles,189 ms
104.27.72.202,LAX,North America,Los Angeles,189 ms
103.21.244.224,LAX,North America,Los Angeles,189 ms
104.20.5.3,LAX,North America,Los Angeles,189 ms
172.65.249.123,SYD,Oceania,Sydney,189 ms
104.22.67.166,LAX,North America,Los Angeles,189 ms
162.159.194.67,LAX,North America,Los Angeles,189 ms
104.25.223.239,LAX,North America,Los Angeles,189 ms
104.25.54.215,LAX,North America,Los Angeles,189 ms
104.20.136.162,LAX,North America,Los Angeles,189 ms
104.27.55.186,LAX,North America,Los Angeles,189 ms
162.159.206.235,LAX,North America,Los Angeles,189 ms
104.20.203.111,LAX,North America,Los Angeles,189 ms
104.25.82.193,LAX,North America,Los Angeles,189 ms
104.19.84.84,LAX,North America,Los Angeles,189 ms
108.162.194.244,LAX,North America,Los Angeles,189 ms
172.66.43.29,LAX,North America,Los Angeles,189 ms
104.19.63.165,LAX,North America,Los Angeles,189 ms
104.19.62.236,LAX,North America,Los Angeles,189 ms
162.159.44.0,LAX,North America,Los Angeles,189 ms
104.19.32.13,LAX,North America,Los Angeles,189 ms
104.23.96.219,LAX,North America,Los Angeles,189 ms
198.41.215.199,LAX,North America,Los Angeles,189 ms
104.20.191.81,LAX,North America,Los Angeles,189 ms
198.41.223.163,LAX,North America,Los Angeles,189 ms
104.24.139.72,LAX,North America,Los Angeles,189 ms
104.25.220.243,LAX,North America,Los Angeles,189 ms
172.64.69.173,LAX,North America,Los Angeles,189 ms
162.159.4.210,LAX,North America,Los Angeles,189 ms
104.22.4.90,LAX,North America,Los Angeles,189 ms
104.18.221.238,SJC,North America,San Jose,189 ms
104.27.39.104,LAX,North America,Los Angeles,189 ms
104.18.24.173,LAX,North America,Los Angeles,189 ms
104.20.200.201,LAX,North America,Los Angeles,189 ms
104.18.0.194,LAX,North America,Los Angeles,189 ms
104.25.201.204,LAX,North America,Los Angeles,189 ms
104.23.120.82,LAX,North America,Los Angeles,189 ms
108.162.196.207,LAX,North America,Los Angeles,189 ms
141.101.122.68,LAX,North America,Los Angeles,189 ms
104.25.218.140,LAX,North America,Los Angeles,189 ms
172.64.158.32,LAX,North America,Los Angeles,190 ms
104.20.66.175,LAX,North America,Los Angeles,190 ms
104.20.43.163,LAX,North America,Los Angeles,190 ms
104.27.30.238,LAX,North America,Los Angeles,190 ms
1.0.0.236,LAX,North America,Los Angeles,190 ms
104.17.62.114,SJC,North America,San Jose,190 ms
104.25.56.36,LAX,North America,Los Angeles,190 ms
104.20.104.211,LAX,North America,Los Angeles,190 ms
172.66.40.226,LAX,North America,Los Angeles,190 ms
172.64.154.95,LAX,North America,Los Angeles,190 ms
104.20.108.151,LAX,North America,Los Angeles,190 ms
104.25.171.235,LAX,North America,Los Angeles,190 ms
162.159.250.107,LAX,North America,Los Angeles,190 ms
162.159.49.51,LAX,North America,Los Angeles,190 ms
104.19.107.52,LAX,North America,Los Angeles,190 ms
104.19.243.134,SJC,North America,San Jose,190 ms
172.64.48.229,LAX,North America,Los Angeles,190 ms
104.25.200.11,LAX,North America,Los Angeles,190 ms
104.25.233.94,LAX,North America,Los Angeles,190 ms
104.20.255.105,LAX,North America,Los Angeles,190 ms
104.27.113.191,LAX,North America,Los Angeles,190 ms
172.64.40.203,LAX,North America,Los Angeles,190 ms
104.25.6.23,LAX,North America,Los Angeles,190 ms
104.19.9.19,LAX,North America,Los Angeles,190 ms
104.24.197.19,LAX,North America,Los Angeles,190 ms
104.19.28.239,LAX,North America,Los Angeles,190 ms
104.24.203.103,LAX,North America,Los Angeles,190 ms
104.24.183.51,LAX,North America,Los Angeles,190 ms
104.20.32.182,LAX,North America,Los Angeles,190 ms
104.20.123.72,LAX,North America,Los Angeles,190 ms
104.25.81.216,LAX,North America,Los Angeles,190 ms
162.159.61.73,LAX,North America,Los Angeles,190 ms
104.20.106.93,LAX,North America,Los Angeles,190 ms
104.18.29.150,LAX,North America,Los Angeles,190 ms
172.67.112.20,LAX,North America,Los Angeles,190 ms
104.23.127.24,LAX,North America,Los Angeles,190 ms
172.67.180.87,LAX,North America,Los Angeles,190 ms
104.22.24.63,LAX,North America,Los Angeles,190 ms
162.159.33.115,LAX,North America,Los Angeles,190 ms
198.41.196.252,LAX,North America,Los Angeles,190 ms
198.41.211.210,LAX,North America,Los Angeles,190 ms
104.25.222.60,LAX,North America,Los Angeles,190 ms
104.27.31.134,LAX,North America,Los Angeles,190 ms
104.25.162.150,LAX,North America,Los Angeles,190 ms
104.22.16.72,LAX,North America,Los Angeles,190 ms
104.22.40.245,LAX,North America,Los Angeles,190 ms
162.159.9.146,LAX,North America,Los Angeles,190 ms
198.41.205.117,LAX,North America,Los Angeles,190 ms
104.25.61.191,LAX,North America,Los Angeles,190 ms
162.159.45.250,LAX,North America,Los Angeles,190 ms
104.19.22.203,LAX,North America,Los Angeles,190 ms
104.20.92.209,LAX,North America,Los Angeles,190 ms
104.19.86.66,LAX,North America,Los Angeles,190 ms
104.20.196.157,LAX,North America,Los Angeles,190 ms
172.67.99.253,LAX,North America,Los Angeles,190 ms
104.20.233.43,LAX,North America,Los Angeles,190 ms
104.25.95.154,LAX,North America,Los Angeles,190 ms
104.23.112.225,LAX,North America,Los Angeles,190 ms
172.64.151.117,LAX,North America,Los Angeles,190 ms
104.25.90.111,LAX,North America,Los Angeles,190 ms
162.159.15.32,LAX,North America,Los Angeles,190 ms
104.27.108.69,LAX,North America,Los Angeles,190 ms
104.24.169.192,LAX,North America,Los Angeles,190 ms
172.64.153.34,LAX,North America,Los Angeles,190 ms
162.159.2.168,LAX,North America,Los Angeles,190 ms
104.18.25.184,LAX,North America,Los Angeles,190 ms
172.67.120.78,LAX,North America,Los Angeles,190 ms
104.27.40.209,LAX,North America,Los Angeles,190 ms
104.20.147.81,LAX,North America,Los Angeles,190 ms
104.24.251.54,LAX,North America,Los Angeles,190 ms
104.25.60.40,LAX,North America,Los Angeles,190 ms
162.159.14.26,LAX,North America,Los Angeles,190 ms
104.19.203.112,LAX,North America,Los Angeles,190 ms
104.25.208.127,LAX,North America,Los Angeles,190 ms
104.25.182.131,LAX,North America,Los Angeles,190 ms
104.19.8.16,LAX,North America,Los Angeles,190 ms
104.18.28.94,LAX,North America,Los Angeles,191 ms
104.22.35.106,LAX,North America,Los Angeles,191 ms
104.18.23.83,LAX,North America,Los Angeles,191 ms
172.65.193.19,LAX,North America,Los Angeles,191 ms
104.22.57.159,LAX,North America,Los Angeles,191 ms
162.159.32.183,LAX,North America,Los Angeles,191 ms
104.20.197.186,LAX,North America,Los Angeles,191 ms
104.25.187.33,LAX,North America,Los Angeles,191 ms
104.25.86.36,LAX,North America,Los Angeles,191 ms
104.19.49.170,LAX,North America,Los Angeles,191 ms
104.25.9.230,LAX,North America,Los Angeles,191 ms
104.25.22.202,LAX,North America,Los Angeles,191 ms
104.25.118.88,LAX,North America,Los Angeles,191 ms
104.20.86.101,LAX,North America,Los Angeles,191 ms
104.20.85.218,LAX,North America,Los Angeles,191 ms
104.27.49.32,LAX,North America,Los Angeles,191 ms
104.25.244.98,LAX,North America,Los Angeles,191 ms
104.20.6.14,LAX,North America,Los Angeles,191 ms
162.159.5.191,LAX,North America,Los Angeles,191 ms
172.67.82.79,LAX,North America,Los Angeles,191 ms
104.19.93.72,LAX,North America,Los Angeles,191 ms
104.27.3.95,LAX,North America,Los Angeles,191 ms
104.24.156.236,LAX,North America,Los Angeles,191 ms
104.25.44.208,LAX,North America,Los Angeles,191 ms
104.20.65.10,LAX,North America,Los Angeles,191 ms
104.24.49.218,LAX,North America,Los Angeles,191 ms
104.18.31.11,LAX,North America,Los Angeles,191 ms
104.23.123.182,LAX,North America,Los Angeles,191 ms
172.67.7.106,LAX,North America,Los Angeles,191 ms
104.22.76.118,LAX,North America,Los Angeles,191 ms
172.67.52.24,LAX,North America,Los Angeles,191 ms
104.24.189.94,LAX,North America,Los Angeles,191 ms
172.64.144.182,LAX,North America,Los Angeles,191 ms
104.24.205.36,LAX,North America,Los Angeles,191 ms
162.159.246.138,LAX,North America,Los Angeles,191 ms
104.20.39.32,LAX,North America,Los Angeles,191 ms
104.20.186.86,LAX,North America,Los Angeles,191 ms
104.19.125.113,LAX,North America,Los Angeles,191 ms
172.67.96.166,LAX,North America,Los Angeles,191 ms
172.64.145.242,LAX,North America,Los Angeles,191 ms
104.27.83.153,LAX,North America,Los Angeles,191 ms
104.20.174.78,LAX,North America,Los Angeles,191 ms
172.67.124.79,LAX,North America,Los Angeles,191 ms
23.227.38.187,LAX,North America,Los Angeles,191 ms
104.20.228.83,LAX,North America,Los Angeles,191 ms
104.27.103.180,LAX,North America,Los Angeles,191 ms
104.18.21.120,LAX,North America,Los Angeles,191 ms
104.27.126.224,LAX,North America,Los Angeles,191 ms
104.25.188.224,LAX,North America,Los Angeles,191 ms
104.27.44.234,LAX,North America,Los Angeles,191 ms
104.20.112.202,LAX,North America,Los Angeles,191 ms
104.27.116.12,LAX,North America,Los Angeles,191 ms
104.25.232.122,LAX,North America,Los Angeles,191 ms
104.20.169.201,LAX,North America,Los Angeles,191 ms
104.25.129.80,LAX,North America,Los Angeles,191 ms
104.24.143.81,LAX,North America,Los Angeles,191 ms
104.25.108.208,LAX,North America,Los Angeles,191 ms
162.159.58.245,LAX,North America,Los Angeles,191 ms
104.19.70.107,LAX,North America,Los Angeles,191 ms
104.25.117.67,LAX,North America,Los Angeles,191 ms
104.20.172.226,LAX,North America,Los Angeles,191 ms
104.22.48.206,LAX,North America,Los Angeles,191 ms
104.25.145.96,LAX,North America,Los Angeles,191 ms
172.67.107.232,LAX,North America,Los Angeles,191 ms
104.25.131.34,LAX,North America,Los Angeles,191 ms
104.25.99.121,LAX,North America,Los Angeles,191 ms
172.66.46.151,LAX,North America,Los Angeles,191 ms
104.24.2.218,LAX,North America,Los Angeles,191 ms
104.25.36.138,LAX,North America,Los Angeles,191 ms
104.20.250.101,LAX,North America,Los Angeles,191 ms
104.20.139.9,LAX,North America,Los Angeles,191 ms
104.23.116.43,LAX,North America,Los Angeles,191 ms
104.24.236.193,LAX,North America,Los Angeles,191 ms
104.25.120.11,LAX,North America,Los Angeles,191 ms
172.66.45.179,LAX,North America,Los Angeles,191 ms
104.23.118.230,LAX,North America,Los Angeles,191 ms
104.25.16.178,LAX,North America,Los Angeles,191 ms
172.67.21.54,LAX,North America,Los Angeles,191 ms
104.25.190.74,LAX,North America,Los Angeles,191 ms
104.24.240.44,LAX,North America,Los Angeles,191 ms
104.25.254.198,LAX,North America,Los Angeles,191 ms
172.64.231.156,LAX,North America,Los Angeles,191 ms
104.25.143.16,LAX,North America,Los Angeles,191 ms
23.227.60.44,LAX,North America,Los Angeles,191 ms
172.66.0.95,LAX,North America,Los Angeles,192 ms
104.18.251.222,SJC,North America,San Jose,192 ms
104.22.50.233,LAX,North America,Los Angeles,192 ms
104.17.201.228,SJC,North America,San Jose,192 ms
172.65.191.80,LAX,North America,Los Angeles,192 ms
104.18.15.252,LAX,North America,Los Angeles,192 ms
104.25.178.120,LAX,North America,Los Angeles,192 ms
104.19.26.70,LAX,North America,Los Angeles,192 ms
104.27.125.142,LAX,North America,Los Angeles,192 ms
104.24.71.46,LAX,North America,Los Angeles,192 ms
104.27.57.69,LAX,North America,Los Angeles,192 ms
104.25.13.80,LAX,North America,Los Angeles,192 ms
104.27.104.172,LAX,North America,Los Angeles,192 ms
104.24.226.209,LAX,North America,Los Angeles,192 ms
104.24.131.48,LAX,North America,Los Angeles,192 ms
104.24.179.165,LAX,North America,Los Angeles,192 ms
104.25.136.131,LAX,North America,Los Angeles,192 ms
198.41.198.124,LAX,North America,Los Angeles,192 ms
173.245.59.125,LAX,North America,Los Angeles,192 ms
104.19.64.139,LAX,North America,Los Angeles,192 ms
104.22.26.187,LAX,North America,Los Angeles,192 ms
104.25.202.117,LAX,North America,Los Angeles,192 ms
104.22.17.130,LAX,North America,Los Angeles,192 ms
104.19.101.153,LAX,North America,Los Angeles,192 ms
104.22.20.83,LAX,North America,Los Angeles,192 ms
104.25.43.215,LAX,North America,Los Angeles,192 ms
104.20.33.86,LAX,North America,Los Angeles,192 ms
162.159.22.18,LAX,North America,Los Angeles,192 ms
104.25.185.128,LAX,North America,Los Angeles,192 ms
104.18.152.38,SJC,North America,San Jose,192 ms
198.41.206.193,LAX,North America,Los Angeles,192 ms
104.20.217.153,LAX,North America,Los Angeles,192 ms
104.24.253.44,LAX,North America,Los Angeles,192 ms
104.25.214.193,LAX,North America,Los Angeles,192 ms
104.19.71.143,LAX,North America,Los Angeles,192 ms
104.24.54.100,LAX,North America,Los Angeles,192 ms
162.159.46.244,LAX,North America,Los Angeles,192 ms
104.27.62.77,LAX,North America,Los Angeles,192 ms
104.27.48.26,LAX,North America,Los Angeles,192 ms
104.25.144.166,LAX,North America,Los Angeles,192 ms
104.24.211.163,LAX,North America,Los Angeles,192 ms
104.27.69.130,LAX,North America,Los Angeles,192 ms
104.20.7.254,LAX,North America,Los Angeles,192 ms
104.24.198.255,LAX,North America,Los Angeles,192 ms
104.25.191.84,LAX,North America,Los Angeles,192 ms
104.18.45.171,LAX,North America,Los Angeles,192 ms
104.20.178.195,LAX,North America,Los Angeles,192 ms
104.20.247.236,LAX,North America,Los Angeles,192 ms
104.20.114.227,LAX,North America,Los Angeles,192 ms
104.23.110.141,LAX,North America,Los Angeles,192 ms
104.23.124.81,LAX,North America,Los Angeles,192 ms
104.27.96.229,LAX,North America,Los Angeles,192 ms
104.27.101.216,LAX,North America,Los Angeles,192 ms
104.22.45.4,LAX,North America,Los Angeles,192 ms
104.18.44.182,LAX,North America,Los Angeles,192 ms
172.64.41.249,LAX,North America,Los Angeles,192 ms
104.22.59.64,LAX,North America,Los Angeles,192 ms
198.41.192.57,LAX,North America,Los Angeles,192 ms
104.22.15.223,LAX,North America,Los Angeles,192 ms
172.67.86.111,LAX,North America,Los Angeles,192 ms
104.24.160.215,LAX,North America,Los Angeles,192 ms
104.20.35.60,LAX,North America,Los Angeles,192 ms
172.67.29.151,LAX,North America,Los Angeles,192 ms
104.20.249.76,LAX,North America,Los Angeles,192 ms
104.25.37.22,LAX,North America,Los Angeles,192 ms
104.19.121.22,LAX,North America,Los Angeles,192 ms
172.66.42.81,LAX,North America,Los Angeles,192 ms
162.159.254.27,LAX,North America,Los Angeles,192 ms
104.24.195.159,LAX,North America,Los Angeles,192 ms
104.27.115.38,LAX,North America,Los Angeles,192 ms
104.27.23.75,LAX,North America,Los Angeles,192 ms
104.25.142.169,LAX,North America,Los Angeles,192 ms
104.23.99.96,LAX,North America,Los Angeles,192 ms
162.159.244.59,LAX,North America,Los Angeles,192 ms
104.19.103.152,LAX,North America,Los Angeles,192 ms
104.25.146.160,LAX,North America,Los Angeles,192 ms
104.20.150.157,LAX,North America,Los Angeles,192 ms
104.19.205.0,LAX,North America,Los Angeles,192 ms
172.67.3.92,LAX,North America,Los Angeles,192 ms
104.20.241.200,LAX,North America,Los Angeles,192 ms
104.25.70.90,LAX,North America,Los Angeles,192 ms
172.67.46.94,LAX,North America,Los Angeles,192 ms
104.18.27.187,LAX,North America,Los Angeles,193 ms
104.25.97.78,LAX,North America,Los Angeles,193 ms
104.21.73.21,LAX,North America,Los Angeles,193 ms
172.67.56.113,LAX,North America,Los Angeles,193 ms
104.27.100.135,LAX,North America,Los Angeles,193 ms
104.23.121.29,LAX,North America,Los Angeles,193 ms
104.27.0.58,LAX,North America,Los Angeles,193 ms
104.27.93.164,LAX,North America,Los Angeles,193 ms
104.27.89.25,LAX,North America,Los Angeles,193 ms
172.67.123.182,LAX,North America,Los Angeles,193 ms
172.67.38.216,LAX,North America,Los Angeles,193 ms
104.20.181.203,LAX,North America,Los Angeles,193 ms
104.19.20.58,LAX,North America,Los Angeles,193 ms
23.227.39.19,LAX,North America,Los Angeles,193 ms
162.159.25.87,LAX,North America,Los Angeles,193 ms
172.67.92.86,LAX,North America,Los Angeles,193 ms
198.41.220.159,LAX,North America,Los Angeles,193 ms
104.20.155.127,LAX,North America,Los Angeles,193 ms
104.20.190.76,LAX,North America,Los Angeles,193 ms
104.19.194.75,LAX,North America,Los Angeles,193 ms
104.27.11.212,LAX,North America,Los Angeles,193 ms
104.24.184.143,LAX,North America,Los Angeles,193 ms
198.41.207.119,LAX,North America,Los Angeles,193 ms
104.19.127.84,LAX,North America,Los Angeles,193 ms
104.20.164.245,LAX,North America,Los Angeles,193 ms
104.25.193.53,LAX,North America,Los Angeles,193 ms
172.67.87.150,LAX,North America,Los Angeles,193 ms
172.67.89.176,LAX,North America,Los Angeles,193 ms
104.20.10.162,LAX,North America,Los Angeles,193 ms
104.24.5.85,LAX,North America,Los Angeles,193 ms
104.24.87.16,LAX,North America,Los Angeles,193 ms
104.24.146.149,LAX,North America,Los Angeles,193 ms
172.64.52.205,LAX,North America,Los Angeles,193 ms
172.65.198.90,LAX,North America,Los Angeles,193 ms
172.67.88.8,LAX,North America,Los Angeles,193 ms
104.24.149.73,LAX,North America,Los Angeles,193 ms
104.20.239.53,LAX,North America,Los Angeles,193 ms
162.159.62.12,LAX,North America,Los Angeles,193 ms
198.41.217.217,LAX,North America,Los Angeles,193 ms
104.22.9.120,LAX,North America,Los Angeles,193 ms
104.19.78.250,LAX,North America,Los Angeles,193 ms
104.17.52.153,SJC,North America,San Jose,193 ms
198.41.216.167,LAX,North America,Los Angeles,193 ms
104.19.114.40,LAX,North America,Los Angeles,193 ms
104.20.210.67,LAX,North America,Los Angeles,193 ms
104.20.198.186,LAX,North America,Los Angeles,193 ms
104.27.18.212,LAX,North America,Los Angeles,193 ms
104.27.105.43,LAX,North America,Los Angeles,193 ms
104.18.10.203,LAX,North America,Los Angeles,193 ms
104.20.141.20,LAX,North America,Los Angeles,193 ms
162.159.196.121,LAX,North America,Los Angeles,193 ms
104.25.228.80,LAX,North America,Los Angeles,193 ms
104.25.11.137,LAX,North America,Los Angeles,193 ms
172.65.203.18,CDG,Europe,Paris,193 ms
104.20.113.82,LAX,North America,Los Angeles,193 ms
104.20.59.109,LAX,North America,Los Angeles,193 ms
104.20.168.243,LAX,North America,Los Angeles,193 ms
104.24.206.128,LAX,North America,Los Angeles,193 ms
104.19.46.37,LAX,North America,Los Angeles,193 ms
104.18.174.52,SJC,North America,San Jose,193 ms
104.20.46.10,LAX,North America,Los Angeles,193 ms
104.18.8.73,LAX,North America,Los Angeles,193 ms
172.67.55.104,LAX,North America,Los Angeles,193 ms
104.19.24.135,LAX,North America,Los Angeles,194 ms
104.20.133.141,LAX,North America,Los Angeles,194 ms
104.25.224.227,LAX,North America,Los Angeles,194 ms
104.27.20.182,LAX,North America,Los Angeles,194 ms
104.27.61.10,LAX,North America,Los Angeles,194 ms
104.25.58.56,LAX,North America,Los Angeles,194 ms
104.27.71.231,LAX,North America,Los Angeles,194 ms
104.25.138.62,LAX,North America,Los Angeles,194 ms
104.24.248.232,LAX,North America,Los Angeles,194 ms
104.24.50.143,LAX,North America,Los Angeles,194 ms
104.27.97.116,LAX,North America,Los Angeles,194 ms
185.146.173.117,LAX,North America,Los Angeles,194 ms
104.25.248.247,LAX,North America,Los Angeles,194 ms
104.24.89.88,LAX,North America,Los Angeles,194 ms
104.25.53.44,LAX,North America,Los Angeles,194 ms
104.20.9.119,LAX,North America,Los Angeles,194 ms
104.20.161.68,LAX,North America,Los Angeles,194 ms
104.24.20.83,LAX,North America,Los Angeles,194 ms
172.67.27.240,LAX,North America,Los Angeles,194 ms
104.25.41.136,LAX,North America,Los Angeles,194 ms
104.18.194.179,SJC,North America,San Jose,194 ms
104.22.51.212,LAX,North America,Los Angeles,194 ms
104.24.200.102,LAX,North America,Los Angeles,194 ms
104.20.220.229,LAX,North America,Los Angeles,194 ms
104.22.43.223,LAX,North America,Los Angeles,194 ms
104.25.170.72,LAX,North America,Los Angeles,194 ms
104.25.23.171,LAX,North America,Los Angeles,194 ms
104.19.47.211,LAX,North America,Los Angeles,194 ms
104.20.209.91,LAX,North America,Los Angeles,194 ms
104.19.193.176,LAX,North America,Los Angeles,194 ms
162.159.241.24,LAX,North America,Los Angeles,194 ms
104.24.171.148,LAX,North America,Los Angeles,194 ms
